age,gender,school_type,parent_education,family_income,study_hours_per_day,attendance_percent,prev_gpa,assignments_completed,extracurricular_activities,internet_access,tutoring_sessions,absences,sleep_hours,final_score,grade,pass_fail,study_efficiency,attendance_risk,parental_support_index,academic_momentum,absence_severity,sleep_quality,total_support
17,Female,Private,High School,Middle,5.18,77.3,3.0,14.0,5,0,0,0.0,5.4,64.6,C,Pass,2.651515151515152,0,2,2.319,0,0,2
17,Male,Public,Postgraduate,High,3.78,58.9,3.8,14.0,3,1,4,12.0,8.6,71.4,C,Pass,3.6082474226804124,1,5,2.2382,2,1,12
18,Male,Private,High School,Middle,2.4,75.8,8.12,9.0,2,1,0,8.0,9.0,68.8,C,Pass,3.6,0,2,6.154959999999999,2,1,5
16,Female,Public,Graduate,Middle,6.34,52.4,8.52,15.0,1,1,3,9.0,4.2,100.0,A,Pass,2.329192546583851,1,3,4.46448,2,0,9
17,Female,Public,High School,Middle,3.57,73.8,5.58,18.0,0,0,2,6.0,8.0,82.4,B,Pass,4.904632152588556,1,2,4.11804,1,1,4
15,Female,Private,Graduate,High,4.65,78.7,7.73,19.0,0,0,0,13.0,8.3,94.5,A,Pass,4.0,0,4,6.08351,3,1,4
18,Male,Public,Postgraduate,High,2.59,84.2,9.0,14.0,4,0,5,7.0,7.4,100.0,A,Pass,5.204460966542751,0,5,7.578,2,1,10
15,Male,Public,Graduate,Middle,4.04,91.2,9.72,10.0,5,1,6,0.0,7.7,100.0,A,Pass,2.4154589371980677,0,3,8.864640000000001,0,1,12
16,Male,Public,High School,Middle,3.97,68.8,6.06,14.0,4,1,1,8.0,7.6,91.7,A,Pass,3.4398034398034394,1,2,4.16928,2,1,6
16,Male,Public,Graduate,High,0.67,64.2,3.0,7.0,2,1,2,10.0,8.0,35.0,F,Fail,9.09090909090909,1,4,1.9260000000000002,2,1,9
16,Male,Public,High School,Middle,6.52,72.6,5.02,20.0,2,1,3,10.0,5.7,99.2,A,Pass,3.0211480362537766,1,2,3.6445199999999995,2,0,8
18,Male,Public,Postgraduate,Middle,5.44,63.9,5.73,15.0,0,1,6,4.0,8.4,100.0,A,Pass,2.707581227436823,1,4,3.66147,1,1,13
17,Female,Private,Graduate,Low,2.9,77.9,6.03,11.0,3,1,5,3.0,7.3,88.5,B,Pass,3.6666666666666665,0,2,4.697370000000001,1,1,10
18,Male,Public,High School,High,1.85,50.9,6.16,13.0,0,1,2,20.0,7.2,53.1,D,Pass,6.666666666666666,1,3,3.13544,3,1,8
15,Male,Private,Graduate,High,4.02,70.3,8.51,13.0,0,1,7,9.0,7.7,100.0,A,Pass,3.1553398058252435,1,4,5.98253,2,1,14
18,Male,Public,Graduate,Low,3.63,60.5,8.79,19.0,2,1,5,8.0,5.5,100.0,A,Pass,5.093833780160858,1,2,5.31795,2,0,10
15,Female,Private,No Education,Middle,4.03,84.8,6.19,13.0,4,1,0,1.0,5.1,84.3,B,Pass,3.1476997578692494,0,1,5.2491200000000005,0,0,4
18,Male,Public,Graduate,Middle,3.79,100.0,8.48,11.0,2,1,6,4.0,6.9,100.0,A,Pass,2.827763496143959,0,3,8.48,1,0,12
17,Male,Private,High School,Low,4.26,57.8,7.14,9.0,5,1,5,10.0,8.9,82.4,B,Pass,2.064220183486239,1,1,4.126919999999999,2,1,9
15,Female,Public,Graduate,High,5.67,53.7,6.62,17.0,2,1,6,16.0,5.6,99.8,A,Pass,2.946273830155979,1,4,3.55494,3,0,13
16,Male,Public,Graduate,Low,4.35,75.7,8.13,14.0,2,0,3,4.0,7.2,100.0,A,Pass,3.1460674157303377,0,2,6.15441,1,1,5
16,Male,Public,Graduate,Low,1.93,70.5,6.63,8.0,0,0,1,3.0,6.1,69.9,C,Pass,3.9408866995073897,1,2,4.67415,1,0,3
18,Male,Public,Graduate,Middle,5.54,84.4,10.0,20.0,3,0,0,6.0,6.0,100.0,A,Pass,3.546099290780142,0,3,8.44,1,0,3
16,Male,Public,Graduate,Middle,5.96,75.7,3.91,19.0,0,1,0,7.0,7.6,91.4,A,Pass,3.1353135313531357,0,3,2.9598700000000004,2,1,6
15,Male,Public,High School,Low,7.440000000000001,86.2,5.57,20.0,1,0,6,8.0,7.9,100.0,A,Pass,2.652519893899204,0,1,4.80134,2,1,7
16,Female,Private,Graduate,Middle,1.81,75.5,6.27,17.0,2,0,3,12.0,6.1,79.4,B,Pass,8.900523560209423,0,3,4.73385,2,0,6
17,Female,Public,High School,Middle,3.86,91.7,7.29,17.0,2,1,3,1.0,8.7,100.0,A,Pass,4.292929292929293,0,2,6.6849300000000005,0,1,8
17,Female,Public,Graduate,Low,0.5,40.0,8.78,8.0,1,1,2,20.0,7.5,44.3,F,Fail,13.333333333333334,1,2,3.512,3,1,7
18,Male,Public,High School,Low,4.33,72.0,6.46,12.0,2,1,1,6.0,6.7,81.1,B,Pass,2.708803611738149,1,1,4.6512,1,0,5
15,Male,Private,High School,Middle,2.68,75.7,3.94,16.0,2,1,5,10.0,7.4,68.3,C,Pass,5.755395683453237,0,2,2.98258,2,1,10
17,Male,Public,Graduate,Low,6.39,69.9,8.02,19.0,5,0,2,10.0,9.4,100.0,A,Pass,2.927580893682589,1,2,5.605980000000001,2,0,4
17,Female,Public,No Education,High,2.34,96.5,7.86,14.0,2,0,5,0.0,7.9,95.6,A,Pass,5.737704918032787,0,2,7.5849,0,1,7
15,Male,Public,Graduate,High,0.97,57.9,3.0,9.0,1,1,5,9.0,6.2,30.8,F,Fail,8.411214953271028,1,4,1.7369999999999999,2,0,12
16,Male,Private,High School,High,2.79,72.3,6.49,15.0,0,1,5,10.0,7.0,80.9,B,Pass,5.190311418685121,1,3,4.69227,2,1,11
16,Female,Private,No Education,Low,0.54,74.5,3.64,9.0,2,1,2,13.0,7.2,13.1,F,Fail,14.0625,1,0,2.7118,3,1,5
18,Male,Public,Graduate,High,4.63,69.5,5.3,16.0,3,0,0,14.0,7.8,65.9,C,Pass,3.382663847780127,1,4,3.6834999999999996,3,1,4
16,Female,Private,No Education,Middle,0.5,40.0,4.87,15.0,1,1,3,13.0,7.3,42.8,F,Fail,25.0,1,1,1.9480000000000002,3,1,7
15,Female,Private,High School,Middle,3.54,68.7,7.96,13.0,4,1,0,5.0,9.3,93.8,A,Pass,3.571428571428571,1,2,5.46852,1,0,5
17,Female,Public,Graduate,Low,0.5,81.4,6.71,6.0,5,0,1,2.0,6.7,50.6,D,Pass,10.0,0,2,5.461940000000001,0,0,3
16,Male,Private,No Education,Low,3.02,68.5,4.19,11.0,1,0,2,6.0,4.9,42.9,F,Fail,3.5256410256410255,1,0,2.8701500000000006,1,0,2
18,Male,Public,Graduate,Middle,5.97,69.7,8.08,20.0,0,1,7,0.0,7.3,100.0,A,Pass,3.294892915980231,1,3,5.631760000000001,0,1,13
16,Male,Public,No Education,Middle,4.04,90.5,3.92,16.0,1,1,1,7.0,6.5,79.4,B,Pass,3.8647342995169085,0,1,3.5476,2,0,5
15,Male,Public,High School,Low,2.2,66.2,7.09,13.0,4,1,3,8.0,5.2,74.1,C,Pass,5.652173913043478,1,1,4.69358,2,0,7
18,Male,Public,Graduate,Middle,3.45,67.2,5.03,13.0,5,1,3,12.0,6.2,74.3,C,Pass,3.661971830985915,1,3,3.38016,2,0,9
16,Male,Public,High School,Low,3.53,77.3,5.84,16.0,3,1,4,5.0,6.6,83.9,B,Pass,4.40771349862259,0,1,4.51432,1,0,8
18,Male,Private,High School,Middle,4.21,88.7,7.41,13.0,4,1,1,3.0,8.4,100.0,A,Pass,3.0162412993039447,0,2,6.5726700000000005,1,1,6
15,Female,Public,High School,Middle,1.45,93.8,7.44,13.0,1,1,7,0.0,5.2,93.8,A,Pass,8.387096774193548,0,2,6.978720000000001,0,0,12
17,Male,Public,High School,High,4.39,90.1,8.91,13.0,4,1,0,3.0,7.4,100.0,A,Pass,2.8953229398663702,0,3,8.027909999999999,1,1,6
15,Female,Public,Graduate,High,0.5,83.4,6.35,8.0,1,0,6,1.0,9.7,76.9,B,Pass,13.333333333333334,0,4,5.2959000000000005,0,0,10
15,Male,Private,High School,Middle,2.56,64.6,7.05,11.0,3,1,7,11.0,6.8,70.0,C,Pass,4.135338345864661,1,2,4.5543,2,0,12
15,Male,Public,Graduate,Middle,2.77,57.4,5.71,12.0,3,1,1,20.0,6.8,53.0,D,Pass,4.181184668989547,1,3,3.2775399999999997,3,0,7
15,Male,Public,Postgraduate,Middle,4.45,78.8,6.83,15.0,0,0,2,9.0,7.9,99.9,A,Pass,3.296703296703297,0,4,5.38204,2,1,6
17,Female,Public,High School,High,3.53,76.7,7.29,15.0,3,1,3,8.0,7.6,100.0,A,Pass,4.132231404958678,0,3,5.59143,2,1,9
17,Female,Public,Postgraduate,Middle,1.39,52.5,6.32,4.5,2,1,3,8.0,8.7,61.4,C,Pass,3.0201342281879193,1,4,3.318,2,1,10
18,Female,Private,High School,Low,2.02,67.9,3.25,10.0,4,1,1,12.0,6.8,34.1,F,Fail,4.716981132075471,1,1,2.20675,2,0,5
16,Female,Private,Postgraduate,Low,3.8,81.9,7.1,14.0,4,1,7,9.0,7.8,100.0,A,Pass,3.58974358974359,0,3,5.8149,2,1,13
17,Male,Public,No Education,Middle,3.38,80.1,7.16,19.0,1,1,1,7.0,7.9,85.3,B,Pass,5.459770114942529,0,1,5.73516,2,1,5
17,Female,Private,Graduate,Middle,2.63,80.0,5.28,10.0,3,0,5,7.0,6.6,72.2,C,Pass,3.663003663003663,0,3,4.224,2,0,8
16,Male,Public,Graduate,High,2.78,77.2,4.19,14.0,0,1,1,6.0,6.9,71.3,C,Pass,4.861111111111112,0,4,3.23468,1,0,8
17,Male,Private,High School,Low,4.54,70.5,9.16,20.0,0,1,5,12.0,7.0,100.0,A,Pass,4.310344827586207,1,1,6.4578,2,1,9
15,Female,Public,Graduate,Middle,2.72,65.0,7.38,10.0,0,0,7,17.0,5.5,70.9,C,Pass,3.5460992907801416,1,3,4.797,3,0,10
15,Female,Public,Graduate,High,3.37,56.6,6.09,16.0,5,0,2,15.0,6.5,68.4,C,Pass,4.610951008645533,1,4,3.44694,3,0,6
16,Female,Public,No Education,High,6.75,100.0,4.45,16.0,2,1,2,0.0,8.8,100.0,A,Pass,2.3357664233576645,0,2,4.45,0,1,7
18,Female,Private,High School,Middle,1.36,68.8,5.02,10.0,3,1,0,5.0,8.2,55.5,D,Pass,6.84931506849315,1,2,3.45376,1,1,5
18,Female,Public,Graduate,Middle,0.72,63.3,8.84,9.0,0,1,1,15.0,6.3,59.8,D,Pass,10.975609756097562,1,3,5.59572,3,0,7
16,Female,Public,Graduate,Middle,4.68,64.6,6.75,14.0,2,0,7,6.0,7.0,100.0,A,Pass,2.9288702928870296,1,3,4.360499999999999,1,1,10
16,Female,Public,Postgraduate,High,2.48,96.9,5.51,20.0,4,0,7,2.0,8.2,100.0,A,Pass,7.751937984496124,0,5,5.339189999999999,0,1,12
15,Female,Private,Graduate,Low,3.02,57.5,7.42,16.0,1,1,0,11.0,7.5,76.4,B,Pass,5.128205128205128,1,2,4.2665,2,1,5
18,Male,Public,Postgraduate,High,2.33,65.1,5.03,16.0,3,0,6,5.0,8.0,79.7,B,Pass,6.584362139917695,1,5,3.27453,1,1,11
17,Female,Private,Graduate,Middle,3.11,80.1,9.2,16.0,3,1,7,10.0,7.6,100.0,A,Pass,4.984423676012461,0,3,7.369199999999998,2,1,13
15,Female,Private,High School,Middle,5.9,91.2,8.94,13.0,5,1,4,6.0,7.3,100.0,A,Pass,2.1666666666666665,0,2,8.15328,1,1,9
16,Male,Public,High School,Low,4.7,93.0,5.66,17.0,4,0,2,0.0,6.8,91.7,A,Pass,3.541666666666667,0,1,5.2638,0,0,3
18,Female,Private,Graduate,Middle,4.79,100.0,5.37,19.0,3,0,3,2.0,5.6,100.0,A,Pass,3.885480572597137,0,3,5.37,0,0,6
17,Male,Public,Graduate,Middle,1.38,76.2,3.0,9.0,5,1,5,9.0,7.8,39.1,F,Fail,6.081081081081082,0,3,2.286,2,1,11
17,Male,Private,No Education,Low,1.77,54.0,3.83,15.0,5,0,4,18.0,6.7,29.7,F,Fail,8.02139037433155,1,0,2.0682,3,0,4
15,Female,Public,High School,Middle,0.5,62.1,4.09,13.0,5,1,3,12.0,5.0,39.2,F,Fail,21.666666666666668,1,2,2.53989,2,0,8
18,Male,Private,Postgraduate,High,2.29,76.0,6.74,19.0,3,1,4,14.0,6.3,94.8,A,Pass,7.949790794979079,0,5,5.1224,3,0,12
18,Male,Private,Graduate,Middle,4.94,100.0,5.91,15.0,3,0,0,0.0,8.0,100.0,A,Pass,2.9761904761904763,0,3,5.91,0,1,3
16,Male,Private,High School,Middle,4.28,56.4,4.08,12.0,3,1,0,12.0,4.7,31.4,F,Fail,2.73972602739726,1,2,2.30112,2,0,5
18,Male,Private,Graduate,Low,3.17,92.0,5.99,13.0,2,0,5,0.0,5.8,89.4,B,Pass,3.9755351681957185,0,2,5.510800000000001,0,0,7
18,Female,Public,High School,Middle,3.47,77.6,7.41,19.0,5,0,2,2.0,7.2,100.0,A,Pass,5.322128851540616,0,2,5.750159999999999,0,1,4
15,Male,Public,High School,Low,2.47,84.5,7.45,8.0,2,0,6,0.0,8.7,89.3,B,Pass,3.1128404669260696,0,1,6.295249999999999,0,1,7
18,Female,Private,High School,Middle,3.81,74.4,3.08,9.0,1,1,7,9.0,8.2,64.6,C,Pass,2.3017902813299234,1,2,2.2915200000000002,2,1,12
17,Male,Public,No Education,High,4.65,65.8,6.27,16.0,3,1,5,9.0,8.8,100.0,A,Pass,3.3684210526315788,1,2,4.12566,2,1,10
15,Male,Public,Graduate,Middle,1.08,79.0,4.01,10.0,4,1,6,8.0,7.2,60.0,C,Pass,8.47457627118644,0,3,3.1678999999999995,2,1,12
15,Male,Private,High School,Low,3.95,86.2,8.12,15.0,0,1,3,0.0,6.7,100.0,A,Pass,3.7037037037037037,0,1,6.99944,0,0,7
16,Male,Private,Graduate,Middle,4.9,93.8,7.91,19.0,1,1,7,0.0,8.0,100.0,A,Pass,3.8,0,3,7.41958,0,1,13
18,Female,Private,Postgraduate,Middle,2.88,72.9,4.88,12.0,0,1,4,4.0,5.9,87.2,B,Pass,4.026845637583893,1,4,3.5575200000000002,1,0,11
16,Female,Public,High School,Middle,4.55,69.2,5.12,10.0,0,1,5,20.0,5.8,60.6,C,Pass,2.1505376344086025,1,2,3.5430400000000004,3,0,10
17,Male,Private,Graduate,High,7.440000000000001,64.3,5.67,20.0,3,1,6,10.0,5.6,100.0,A,Pass,2.652519893899204,1,4,3.6458099999999996,2,0,13
15,Male,Public,Graduate,High,3.34,86.8,3.0,11.0,4,0,1,4.0,8.3,62.8,C,Pass,3.197674418604651,0,4,2.6039999999999996,1,1,5
15,Female,Private,Postgraduate,Middle,4.09,83.1,7.1,12.0,0,0,1,5.0,6.0,100.0,A,Pass,2.8639618138424825,0,4,5.900099999999998,1,0,5
15,Male,Public,High School,Middle,2.39,57.2,6.01,16.0,5,1,2,21.0,8.2,50.3,D,Pass,6.425702811244979,1,2,3.43772,3,1,7
17,Male,Private,Graduate,Low,3.77,67.7,8.25,14.0,0,1,6,2.0,7.2,100.0,A,Pass,3.6175710594315245,1,2,5.585249999999999,0,1,11
17,Male,Private,Graduate,Low,4.19,70.1,4.52,15.0,1,1,5,9.0,8.3,70.4,C,Pass,3.4965034965034967,1,2,3.168519999999999,2,1,10
16,Female,Public,High School,Middle,3.79,53.6,5.39,16.0,4,1,3,6.0,5.7,74.3,C,Pass,4.113110539845758,1,2,2.88904,1,0,8
16,Female,Private,High School,Middle,1.97,58.1,3.79,16.0,4,1,1,1.0,6.2,60.4,C,Pass,7.729468599033817,1,2,2.2019900000000003,0,0,6
16,Female,Public,Graduate,Middle,3.81,58.9,4.69,14.0,0,1,2,9.0,7.5,65.9,C,Pass,3.580562659846547,1,3,2.7624100000000005,2,1,8
18,Male,Private,Graduate,Middle,5.69,75.4,4.37,20.0,4,1,5,9.0,6.5,100.0,A,Pass,3.454231433506045,0,3,3.2949800000000007,2,0,11
15,Male,Private,High School,Low,4.17,65.9,8.29,9.0,1,1,2,6.0,4.0,86.9,B,Pass,2.107728337236534,1,1,5.46311,1,0,6
15,Female,Public,Graduate,Middle,4.94,54.9,5.24,19.0,1,1,3,16.0,5.4,77.9,B,Pass,3.7698412698412698,1,3,2.87676,3,0,9
16,Female,Private,High School,Low,3.14,98.9,6.72,12.0,1,1,1,1.0,5.7,88.9,B,Pass,3.7037037037037033,0,1,6.64608,0,0,5
15,Female,Private,Graduate,Low,4.62,97.2,5.81,20.0,5,0,7,0.0,5.8,100.0,A,Pass,4.237288135593221,0,2,5.64732,0,0,9
16,Female,Public,High School,High,3.92,64.6,4.21,15.0,3,1,1,17.0,7.8,56.3,D,Pass,3.73134328358209,1,3,2.7196599999999993,3,1,7
18,Male,Public,Postgraduate,Low,2.07,74.8,6.2,11.0,0,1,1,5.0,7.4,74.7,C,Pass,5.0691244239631335,1,3,4.6376,1,1,7
18,Female,Private,High School,Middle,3.98,82.7,7.58,17.0,4,1,6,7.0,7.2,100.0,A,Pass,4.166666666666667,0,2,6.26866,2,1,11
17,Male,Private,High School,Low,2.01,88.4,4.33,15.0,1,0,0,0.0,9.4,66.7,C,Pass,7.109004739336493,0,1,3.8277200000000007,0,0,1
18,Female,Private,No Education,High,2.55,59.9,7.96,15.0,0,1,6,13.0,8.4,83.9,B,Pass,5.660377358490567,1,2,4.76804,3,1,11
16,Male,Private,High School,Middle,3.78,92.2,4.97,12.0,0,1,1,1.0,8.0,75.9,B,Pass,3.0927835051546393,0,2,4.582339999999999,0,1,6
18,Female,Public,Graduate,Low,3.95,68.1,5.63,14.0,3,0,4,4.0,5.2,80.5,B,Pass,3.4567901234567904,1,2,3.83403,1,0,6
17,Female,Private,High School,Middle,1.72,49.6,7.46,12.0,5,1,0,17.0,7.1,53.2,D,Pass,6.593406593406593,1,2,3.7001600000000003,3,1,5
15,Female,Public,Graduate,Middle,5.08,90.6,5.31,16.0,4,1,7,0.0,7.4,100.0,A,Pass,3.088803088803089,0,3,4.81086,0,1,13
16,Female,Public,No Education,High,4.36,96.9,6.57,18.0,5,1,5,10.0,6.5,100.0,A,Pass,4.0358744394618835,0,2,6.3663300000000005,2,0,10
15,Male,Public,High School,Low,2.44,96.8,5.93,7.0,4,0,6,0.0,9.0,86.3,B,Pass,2.7559055118110236,0,1,5.74024,0,1,7
17,Female,Public,High School,High,1.19,50.1,6.73,13.0,1,1,0,16.0,7.1,53.4,D,Pass,10.077519379844961,1,3,3.371730000000001,3,1,6
17,Male,Public,No Education,High,3.28,84.8,3.0,13.0,1,1,0,5.0,5.5,60.4,C,Pass,3.8461538461538463,0,2,2.5439999999999996,1,0,5
17,Male,Public,High School,High,2.83,66.8,3.21,11.0,0,1,6,9.0,5.8,61.6,C,Pass,3.7542662116040955,1,3,2.14428,2,0,12
15,Male,Private,High School,Middle,3.67,87.3,7.61,12.0,4,1,6,1.0,9.7,100.0,A,Pass,3.183023872679045,0,2,6.643529999999999,0,0,11
15,Male,Public,Graduate,Middle,2.96,51.3,8.37,13.0,4,1,0,15.0,6.5,75.3,B,Pass,4.248366013071895,1,3,4.293809999999999,3,0,6
15,Female,Public,High School,Middle,0.5,47.1,4.86,4.5,5,0,2,21.0,4.5,8.3,F,Fail,7.5,1,2,2.2890600000000005,3,0,4
15,Male,Public,Graduate,Middle,2.92,61.6,6.06,12.0,1,0,7,3.0,6.3,87.7,B,Pass,3.9735099337748343,1,3,3.73296,1,0,10
17,Male,Public,Graduate,Middle,3.04,74.8,7.03,11.0,2,1,4,4.0,4.8,84.6,B,Pass,3.503184713375796,1,3,5.25844,1,0,10
17,Male,Public,No Education,Middle,4.45,68.2,7.75,17.0,0,0,3,4.0,8.1,90.3,A,Pass,3.7362637362637363,1,1,5.285500000000001,1,1,4
16,Female,Public,Graduate,Middle,2.45,81.7,3.0,11.0,4,1,1,0.0,4.7,55.5,D,Pass,4.313725490196078,0,3,2.451,0,0,7
16,Female,Public,Postgraduate,Middle,6.02,98.0,4.91,17.0,3,1,7,2.0,5.3,100.0,A,Pass,2.777777777777778,0,4,4.8118,0,0,14
15,Female,Private,Graduate,High,0.63,75.4,5.9,16.0,3,1,6,10.0,7.0,82.9,B,Pass,21.91780821917808,0,4,4.448600000000001,2,1,13
18,Female,Public,Graduate,Low,5.47,100.0,7.77,20.0,2,0,0,5.0,8.3,100.0,A,Pass,3.590664272890485,0,2,7.77,1,1,2
18,Male,Public,High School,High,3.16,80.2,10.0,17.0,1,1,3,9.0,6.9,100.0,A,Pass,5.214723926380367,0,3,8.02,2,0,9
17,Male,Public,Graduate,Middle,4.79,60.6,6.09,15.0,1,1,6,15.0,5.5,93.4,A,Pass,3.067484662576687,1,3,3.69054,3,0,12
17,Female,Private,Graduate,High,3.62,95.8,3.97,16.0,1,0,2,0.0,7.2,90.4,A,Pass,4.301075268817204,0,4,3.8032600000000003,0,1,6
17,Male,Public,Graduate,Middle,5.21,71.1,7.22,16.0,5,0,3,16.0,6.4,94.1,A,Pass,3.0131826741996237,1,3,5.13342,3,0,6
16,Male,Public,Postgraduate,Middle,2.92,86.9,8.88,13.0,3,1,0,3.0,8.4,100.0,A,Pass,4.304635761589404,0,4,7.716720000000001,1,1,7
16,Male,Public,High School,High,1.85,93.7,6.69,14.0,1,0,7,7.0,8.0,89.9,B,Pass,7.179487179487179,0,3,6.268530000000001,2,1,10
17,Female,Public,No Education,Low,5.63,88.2,4.87,15.0,3,1,5,0.0,6.4,100.0,A,Pass,2.617801047120419,0,0,4.29534,0,0,8
17,Female,Public,Graduate,High,3.33,52.0,8.22,19.0,2,0,7,13.0,7.9,100.0,A,Pass,5.53935860058309,1,4,4.274400000000001,3,1,11
17,Male,Public,Graduate,Middle,3.83,62.2,7.69,14.0,0,1,7,16.0,7.3,92.2,A,Pass,3.5623409669211195,1,3,4.783180000000001,3,1,13
18,Female,Public,High School,Middle,5.35,100.0,4.65,19.0,5,1,4,0.0,8.6,100.0,A,Pass,3.486238532110092,0,2,4.65,0,1,9
16,Female,Public,High School,Middle,1.95,67.8,7.19,17.0,4,1,3,6.0,7.9,78.2,B,Pass,8.292682926829269,1,2,4.874820000000001,1,1,8
18,Female,Public,No Education,Middle,4.39,78.9,8.3,19.0,2,1,6,13.0,7.7,100.0,A,Pass,4.23162583518931,0,1,6.548700000000001,3,1,10
18,Female,Private,High School,Middle,2.62,83.7,8.63,9.0,3,1,0,0.0,8.6,89.7,B,Pass,3.3088235294117645,0,2,7.2233100000000015,0,1,5
17,Female,Private,Graduate,Low,3.3,84.9,6.38,16.0,2,0,6,4.0,7.0,100.0,A,Pass,4.705882352941177,0,2,5.41662,1,1,8
17,Male,Private,Graduate,Low,3.61,79.5,5.86,17.0,4,0,0,9.0,6.1,64.7,C,Pass,4.5822102425876015,0,2,4.6587,2,0,2
15,Female,Private,High School,Low,1.25,65.1,8.71,14.0,5,1,1,21.0,7.2,70.5,C,Pass,10.37037037037037,1,1,5.67021,3,1,5
15,Male,Public,High School,High,2.33,66.8,4.32,10.0,0,1,5,8.0,6.6,64.7,C,Pass,4.11522633744856,1,3,2.8857600000000003,2,0,11
18,Male,Public,No Education,High,5.53,93.9,7.29,15.0,4,1,1,0.0,7.7,100.0,A,Pass,2.664298401420959,0,2,6.8453100000000004,0,1,6
16,Female,Public,High School,Middle,4.83,87.3,4.03,19.0,5,1,7,2.0,7.1,100.0,A,Pass,3.85395537525355,0,2,3.51819,0,1,12
17,Male,Public,Graduate,Middle,3.41,70.9,8.42,12.0,3,1,5,10.0,7.5,100.0,A,Pass,3.4188034188034186,1,3,5.969780000000001,2,1,11
17,Male,Private,Postgraduate,Middle,3.86,92.3,6.04,14.0,4,1,4,5.0,5.6,100.0,A,Pass,3.5353535353535355,0,4,5.57492,1,0,11
18,Male,Public,Graduate,Middle,3.06,71.7,8.78,19.0,2,1,1,14.0,7.6,100.0,A,Pass,6.012658227848101,1,3,6.29526,3,1,7
15,Female,Private,No Education,High,5.53,68.3,7.38,17.0,1,1,4,13.0,5.5,100.0,A,Pass,3.019538188277087,1,2,5.04054,3,0,9
16,Female,Public,Postgraduate,High,3.2,62.7,4.3,12.0,2,1,6,9.0,8.2,72.7,C,Pass,3.6363636363636362,1,5,2.6961,2,1,14
15,Male,Private,Graduate,Middle,3.85,61.4,9.06,12.0,3,1,7,16.0,8.2,100.0,A,Pass,3.0379746835443036,1,3,5.56284,3,1,13
15,Female,Public,Graduate,Middle,5.22,76.1,9.29,18.0,0,1,2,8.0,7.4,100.0,A,Pass,3.3834586466165417,0,3,7.06969,2,1,8
15,Female,Public,Graduate,Low,2.33,90.0,8.09,9.0,4,0,2,7.0,7.4,81.5,B,Pass,3.7037037037037033,0,2,7.281000000000001,2,1,4
15,Female,Public,High School,High,5.84,69.9,5.13,17.0,0,1,5,13.0,6.7,95.3,A,Pass,2.861952861952862,1,3,3.5858700000000003,3,0,11
17,Female,Public,High School,Low,1.2,70.9,5.95,13.0,3,0,5,17.0,6.3,52.3,D,Pass,10.0,1,1,4.2185500000000005,3,0,6
17,Male,Public,No Education,Middle,5.94,72.5,6.76,20.0,4,1,1,6.0,7.0,100.0,A,Pass,3.3112582781456954,1,1,4.901,1,1,5
15,Male,Public,High School,Middle,2.94,69.4,5.23,16.0,5,0,2,6.0,9.4,79.3,B,Pass,5.2631578947368425,1,2,3.6296200000000005,1,0,4
16,Female,Private,High School,Middle,3.14,51.3,9.55,12.0,5,0,3,17.0,7.3,76.6,B,Pass,3.7037037037037033,1,2,4.899150000000001,3,1,5
18,Female,Public,Graduate,Low,0.66,63.2,6.76,15.0,2,1,3,17.0,5.4,53.2,D,Pass,19.736842105263158,1,2,4.272320000000001,3,0,8
16,Male,Public,Graduate,High,2.82,70.0,3.0,13.0,2,1,6,9.0,4.9,62.8,C,Pass,4.452054794520548,1,4,2.1,2,0,13
16,Male,Public,Graduate,Low,1.94,78.4,7.11,9.0,3,1,3,13.0,5.3,63.6,C,Pass,4.411764705882353,0,2,5.5742400000000005,3,0,8
16,Female,Private,No Education,Middle,2.59,75.6,5.87,13.0,5,1,6,11.0,6.5,68.4,C,Pass,4.83271375464684,0,1,4.43772,2,0,10
15,Male,Public,Postgraduate,Low,3.29,56.4,6.37,19.0,4,1,2,12.0,8.5,89.0,B,Pass,5.604719764011799,1,3,3.5926799999999997,2,1,8
17,Female,Public,Postgraduate,Middle,4.94,95.6,5.84,17.0,5,0,3,4.0,5.8,100.0,A,Pass,3.373015873015873,0,4,5.58304,1,0,7
16,Female,Public,Graduate,Middle,3.81,79.1,7.95,15.0,2,1,4,4.0,8.7,100.0,A,Pass,3.836317135549872,0,3,6.288449999999999,1,1,10
15,Male,Public,Postgraduate,Middle,3.96,79.4,8.52,20.0,3,1,0,7.0,7.2,100.0,A,Pass,4.926108374384237,0,4,6.764880000000001,2,1,7
16,Male,Private,Graduate,Low,1.86,69.9,7.01,8.0,5,1,5,4.0,7.6,74.8,C,Pass,4.081632653061224,1,2,4.89999,1,1,10
16,Female,Public,Postgraduate,Low,2.18,63.3,5.89,9.0,3,1,7,11.0,7.5,72.8,C,Pass,3.947368421052631,1,3,3.72837,2,1,13
15,Female,Public,No Education,Middle,6.2,86.4,6.43,13.0,5,1,1,9.0,7.7,100.0,A,Pass,2.0634920634920637,0,1,5.5555200000000005,2,1,5
17,Male,Private,High School,Middle,2.4,78.8,6.54,14.0,0,1,6,10.0,6.5,85.7,B,Pass,5.6,0,2,5.153519999999999,2,0,11
17,Female,Public,High School,High,5.98,56.2,5.06,18.0,5,1,4,16.0,4.2,70.6,C,Pass,2.9605263157894735,1,3,2.8437200000000002,3,0,10
